GP_PRACTICE_CODE,POSTCODE,CCG_CODE,NHSE_AREA_TEAM_CODE,NHSE_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALES
D83084,IP5 1JF,06L,Q56,Y55,8125,3981,4144
D83608,NR33 9DF,06M,Q56,Y55,6393,2981,3412
D83610,IP33 1AE,07K,Q56,Y55,11296,5533,5763
D83615,IP6 0DJ,06L,Q56,Y55,1736,920,816
D83618,CB9 8AG,07K,Q56,Y55,3946,1980,1966
D83619,NR33 9RW,06M,Q56,Y55,2129,1113,1016
E81001,LU2 0NN,06P,Q58,Y55,3136,1739,1397
E81002,MK45 2SB,06F,Q58,Y55,6902,3283,3619
E81003,LU7 1AR,06F,Q58,Y55,13558,6756,6802
E81004,LU7 1RS,06F,Q58,Y55,11586,5702,5884
E81005,LU1 1BW,06P,Q58,Y55,9577,5023,4554
E81006,LU2 9AU,06P,Q58,Y55,10280,5067,5213
E81007,MK43 7DX,06F,Q58,Y55,6200,3101,3099
E81008,LU4 0TR,06F,Q58,Y55,13717,6701,7016
E81009,LU6 1SF,06F,Q58,Y55,12652,6263,6389
E81010,LU4 9QZ,06P,Q58,Y55,7795,3783,4012
E81011,MK40 3NG,06F,Q58,Y55,12870,6519,6351
E81012,SG19 2QS,06F,Q58,Y55,11657,5856,5801
E81013,LU1 3AG,06P,Q58,Y55,10543,5677,4866
E81014,LU6 3SU,06F,Q58,Y55,9173,4570,4603
E81015,MK45 1DZ,06F,Q58,Y55,16069,8091,7978
E81016,LU4 8DG,06P,Q58,Y55,6655,3360,3295
E81017,MK40 2LA,06F,Q58,Y55,9578,4749,4829
E81018,LU3 1RW,06P,Q58,Y55,11985,6031,5954
E81019,MK42 0NT,06F,Q58,Y55,14430,7011,7419
E81020,MK40 2BU,06F,Q58,Y55,7421,3693,3728
E81021,MK40 4HR,06F,Q58,Y55,8363,4304,4059
E81022,SG5 4HB,06F,Q58,Y55,13156,6538,6618
E81023,MK42 8DR,06F,Q58,Y55,4254,2196,2058
E81024,MK44 1PZ,06F,Q58,Y55,5622,2772,2850
E81025,LU4 9FJ,06P,Q58,Y55,4495,2331,2164
E81026,LU2 9SB,06P,Q58,Y55,6771,3314,3457
E81027,LU5 5EZ,06F,Q58,Y55,10449,5346,5103
E81028,LU3 1HA,06P,Q58,Y55,11619,5939,5680
E81029,MK41 9JE,06F,Q58,Y55,11944,5755,6189
E81030,MK40 2DZ,06F,Q58,Y55,3130,1532,1598
E81031,MK44 3HX,06F,Q58,Y55,4765,2453,2312
E81032,LU1 1HH,06P,Q58,Y55,22111,11380,10731
E81033,SG17 5FS,06F,Q58,Y55,16838,8201,8637
E81034,LU5 6DE,06F,Q58,Y55,7348,3668,3680
E81035,SG19 1JQ,06F,Q58,Y55,8978,4482,4496
E81036,SG18 0PX,06F,Q58,Y55,10638,5273,5365
E81037,MK40 2TX,06F,Q58,Y55,14419,7086,7333
E81038,MK42 8QD,06F,Q58,Y55,11974,5773,6201
E81040,LU3 3AH,06P,Q58,Y55,7273,3659,3614
E81041,LU3 2NS,06P,Q58,Y55,10510,5329,5181
E81043,MK43 0HZ,06F,Q58,Y55,9949,5344,4605
E81044,LU7 1LB,06F,Q58,Y55,14947,7490,7457
E81045,LU5 4RS,06F,Q58,Y55,8043,3859,4184
E81046,MK45 4TA,06F,Q58,Y55,11084,5454,5630
E81047,MK40 3DB,06F,Q58,Y55,9269,4526,4743
E81048,LU1 1QJ,06P,Q58,Y55,8450,4375,4075
E81049,MK41 6GA,06F,Q58,Y55,6425,3260,3165
E81050,MK17 8QP,06F,Q58,Y55,11236,5595,5641
E81052,LU6 3JH,06F,Q58,Y55,8902,4455,4447
E81054,LU3 3EP,06P,Q58,Y55,3053,1564,1489
E81056,MK42 8EP,06F,Q58,Y55,5432,2805,2627
E81057,SG18 8DJ,06F,Q58,Y55,13250,6509,6741
E81059,SG19 1EJ,06F,Q58,Y55,5564,2794,2770
E81060,MK40 2DQ,06F,Q58,Y55,3703,1902,1801
E81061,SG16 6JJ,06F,Q58,Y55,5183,2612,2571
E81062,MK41 7PW,06F,Q58,Y55,3566,1832,1734
E81063,LU4 8JD,06P,Q58,Y55,8018,4112,3906
E81064,LU3 4BG,06P,Q58,Y55,5657,2831,2826
E81065,LU4 8BD,06P,Q58,Y55,5992,3349,2643
E81069,LU1 4EE,06F,Q58,Y55,4853,2378,2475
E81072,LU7 4SF,06F,Q58,Y55,6986,3538,3448
E81073,LU1 3UA,06P,Q58,Y55,12006,6234,5772
E81074,MK45 2TG,06F,Q58,Y55,10347,5046,5301
E81075,LU2 9SB,06P,Q58,Y55,8152,4044,4108
E81076,LU4 0PF,06P,Q58,Y55,4274,2110,2164
E81077,MK45 2SB,06F,Q58,Y55,3654,1958,1696
E81611,MK40 3PX,06F,Q58,Y55,3206,1670,1536
E81612,LU4 9NN,06P,Q58,Y55,5465,2884,2581
E81615,MK40 1DS,06F,Q58,Y55,3170,1777,1393
E81617,LU2 9AU,06P,Q58,Y55,5059,2555,2504
E81618,LU4 8HT,06P,Q58,Y55,1651,983,668
E81626,MK42 9JS,06F,Q58,Y55,5824,3097,2727
E81631,LU3 1BD,06P,Q58,Y55,2866,1559,1307
E81632,LU3 4AD,06P,Q58,Y55,6906,3446,3460
E81633,LU3 2JG,06P,Q58,Y55,2785,1452,1333
E81635,LU5 4RR,06F,Q58,Y55,2629,1319,1310
E81636,LU6 1LN,06F,Q58,Y55,1994,1039,955
E82001,HP23 6PU,06N,Q58,Y55,18568,9041,9527
E82002,AL10 0BS,06K,Q58,Y55,9423,4691,4732
E82004,AL1 4JE,06N,Q58,Y55,3888,2136,1752
E82005,SG1 3QA,06K,Q58,Y55,19599,9627,9972
E82006,EN11 8EP,06K,Q58,Y55,9649,4924,4725
E82007,SG14 1JA,06K,Q58,Y55,9715,4729,4986
E82008,SG6 4TS,06K,Q58,Y55,9102,4518,4584
E82009,HP3 9SQ,06N,Q58,Y55,11659,5790,5869
E82011,SG8 8HY,06H,Q56,Y55,7178,3558,3620
E82012,WD6 1PR,06N,Q58,Y55,14148,6939,7209
E82013,WD18 7QR,06N,Q58,Y55,11351,5626,5725
E82014,AL3 5NP,06N,Q58,Y55,12448,6118,6330
E82015,WD17 1LS,06N,Q58,Y55,12103,6062,6041
E82017,WD25 9GP,06N,Q58,Y55,10795,5334,5461
E82018,AL10 0NL,06K,Q58,Y55,12356,6240,6116
E82019,AL6 9EF,06K,Q58,Y55,16218,8045,8173
E82020,WD19 7RU,06N,Q58,Y55,7033,3647,3386
E82021,SG10 6DE,06K,Q58,Y55,6481,3257,3224
E82022,HP2 5BL,06N,Q58,Y55,16096,7940,8156
E82023,AL10 8HP,06K,Q58,Y55,9414,4750,4664
E82024,SG14 1HZ,06K,Q58,Y55,14223,7049,7174
E82025,WD18 7QR,06N,Q58,Y55,16292,8041,8251
E82027,EN6 1QH,06N,Q58,Y55,12608,6009,6599
E82028,HP4 3BY,06N,Q58,Y55,8906,4288,4618
E82031,AL1 3JB,06N,Q58,Y55,18178,9078,9100
E82032,HP3 9LY,06N,Q58,Y55,17454,8663,8791
E82034,WD24 7PH,06N,Q58,Y55,6553,3305,3248
E82035,SG3 6AP,06K,Q58,Y55,11730,5734,5996
E82037,AL5 2BT,06N,Q58,Y55,16039,7912,8127
E82038,SG11 1TF,06K,Q58,Y55,8197,4135,4062
E82039,SG1 4LH,06K,Q58,Y55,11458,5802,5656
E82040,AL7 3UJ,06K,Q58,Y55,22043,10993,11050
E82041,AL8 7QG,06K,Q58,Y55,9675,4714,4961
E82042,EN8 7LJ,06K,Q58,Y55,8600,4206,4394
E82043,WD6 3BJ,06N,Q58,Y55,12896,6383,6513
E82044,SG4 9TH,06K,Q58,Y55,14319,6926,7393
E82045,WD18 0JP,06N,Q58,Y55,7390,3988,3402
E82046,WD5 0AJ,06N,Q58,Y55,12065,5977,6088
E82048,WD6 4PT,06N,Q58,Y55,9089,4586,4503
E82049,WD3 3LG,06N,Q58,Y55,4001,1967,2034
E82050,HP2 6AD,06N,Q58,Y55,4401,2198,2203
E82051,HP2 4HY,06N,Q58,Y55,13601,6827,6774
E82053,SG5 1LH,06K,Q58,Y55,6715,3398,3317
E82054,WD24 5DG,06N,Q58,Y55,11790,5936,5854
E82055,AL2 3JX,06N,Q58,Y55,12373,6121,6252
E82056,SG2 9QN,06K,Q58,Y55,7934,4003,3931
E82057,SG13 7EE,06K,Q58,Y55,5509,2757,2752
E82058,AL9 7SN,06K,Q58,Y55,14383,7491,6892
E82059,AL3 5NF,06N,Q58,Y55,9789,4823,4966
E82060,AL1 3HD,06N,Q58,Y55,18741,9292,9449
E82061,EN11 8TS,06K,Q58,Y55,11866,5943,5923
E82062,AL7 4PL,06K,Q58,Y55,15636,7735,7901
E82063,EN10 6FD,06K,Q58,Y55,10817,5200,5617
E82064,WD3 5EA,06N,Q58,Y55,6765,3310,3455
E82066,WD4 9HT,06N,Q58,Y55,3285,1710,1575
E82067,CM23 2LY,06K,Q58,Y55,17112,8367,8745
E82068,WD3 7DJ,06N,Q58,Y55,11650,5865,5785
E82069,WD17 4NT,06N,Q58,Y55,3597,1833,1764
E82070,HP2 7RJ,06N,Q58,Y55,2674,1445,1229
E82071,AL5 4QA,06N,Q58,Y55,14429,7238,7191
E82072,SG8 7BS,06H,Q56,Y55,11421,5824,5597
E82073,WD23 2NN,06N,Q58,Y55,12763,6240,6523
E82074,CM23 3AP,06K,Q58,Y55,20434,9995,10439
E82075,SG5 1LL,06K,Q58,Y55,12876,6337,6539
E82076,HP4 3EU,06N,Q58,Y55,5754,2830,2924
E82077,AL5 4HX,06N,Q58,Y55,12618,6266,6352
E82078,EN6 5DA,06N,Q58,Y55,8593,4052,4541
E82079,EN7 5DL,06K,Q58,Y55,7322,3638,3684
E82080,SG5 1ND,06K,Q58,Y55,9220,4583,4637
E82081,EN6 4JA,06K,Q58,Y55,12411,6079,6332
E82082,SG6 4UB,06K,Q58,Y55,13932,6743,7189
E82083,WD3 7DJ,06N,Q58,Y55,10177,4869,5308
E82084,AL3 5HB,06N,Q58,Y55,12972,6429,6543
E82085,WD7 7JQ,06N,Q58,Y55,20043,10019,10024
E82086,SG1 3HT,06K,Q58,Y55,15684,7837,7847
E82088,EN11 9FF,06K,Q58,Y55,8714,4327,4387
E82089,SG2 0HN,06K,Q58,Y55,13910,7045,6865
E82090,EN10 7NQ,06K,Q58,Y55,10723,5318,5405
E82091,HP1 2LD,06N,Q58,Y55,17418,8577,8841
E82092,SG12 9HJ,06K,Q58,Y55,11075,5427,5648
E82093,SG1 1LQ,06K,Q58,Y55,12331,6142,6189
E82094,HP4 2DL,06N,Q58,Y55,9760,4863,4897
E82095,AL3 7BL,06N,Q58,Y55,7469,3657,3812
E82096,WD25 0EA,06N,Q58,Y55,9840,4809,5031
E82098,EN6 5DA,06N,Q58,Y55,7617,3689,3928
E82099,SG7 6BP,06K,Q58,Y55,12988,6473,6515
E82100,CM21 9AQ,06K,Q58,Y55,12051,6050,6001
E82102,SG12 9EF,06K,Q58,Y55,9153,4512,4641
E82104,SG6 3JW,06K,Q58,Y55,5746,2819,2927
E82105,WD5 0BT,06N,Q58,Y55,4182,2142,2040
E82106,WD3 3HD,06N,Q58,Y55,10212,4961,5251
E82107,AL3 5ER,06N,Q58,Y55,8788,4471,4317
E82109,SG14 1HH,06K,Q58,Y55,6917,3487,3430
E82111,SG1 2JW,06K,Q58,Y55,4256,2196,2060
E82113,AL2 1ES,06N,Q58,Y55,4260,2230,2030
E82115,EN7 6HL,06K,Q58,Y55,13251,6547,6704
E82117,WD6 4PR,06N,Q58,Y55,12288,6050,6238
E82121,SG14 3SY,06K,Q58,Y55,4800,2435,2365
E82123,EN8 8NW,06K,Q58,Y55,10677,5112,5565
E82124,WD23 2NN,06N,Q58,Y55,14103,6721,7382
E82126,SG9 9DL,06K,Q58,Y55,2611,1342,1269
E82129,WD4 8ET,06N,Q58,Y55,13734,6826,6908
E82130,SG9 9DQ,06K,Q58,Y55,6015,2926,3089
E82131,HP23 5AE,06N,Q58,Y55,2605,1354,1251
E82132,SG8 5PT,06H,Q56,Y55,6009,2930,3079
E82133,EN8 0BX,06K,Q58,Y55,5933,3016,2917
E82603,WD18 0JP,06N,Q58,Y55,2381,1236,1145
E82613,WD18 0JP,06N,Q58,Y55,2346,1121,1225
E82620,SG13 7NU,06K,Q58,Y55,965,538,427
E82624,SG1 4LQ,06K,Q58,Y55,2649,1271,1378
E82626,SG4 8AG,06K,Q58,Y55,2579,1318,1261
E82627,SG12 9HP,06K,Q58,Y55,2909,1499,1410
E82630,WD18 0JP,06N,Q58,Y55,2331,1261,1070
E82638,EN8 7DJ,06K,Q58,Y55,6637,3282,3355
E82640,HP2 5NT,06N,Q58,Y55,4656,2335,2321
E82641,SG2 7QX,06K,Q58,Y55,5277,2707,2570
E82643,HP3 0HJ,06N,Q58,Y55,2469,1225,1244
E82644,HP2 7PQ,06N,Q58,Y55,1989,1034,955
E82652,HP4 1DL,06N,Q58,Y55,2294,1212,1082
E82653,WD19 6UT,06N,Q58,Y55,1999,1013,986
E82654,CM23 5JH,06K,Q58,Y55,4437,2203,2234
E82655,WD19 7SF,06N,Q58,Y55,3065,1449,1616
E82656,WD18 0JP,06N,Q58,Y55,2289,1244,1045
E82657,WD23 1EZ,06N,Q58,Y55,6121,2862,3259
E82658,WD18 6NT,06N,Q58,Y55,4093,2027,2066
E82661,SG6 3BJ,06K,Q58,Y55,6787,3336,3451
E82663,AL3 8LJ,06N,Q58,Y55,4015,2060,1955
E83003,N20 0DH,07M,Q71,Y56,8548,4081,4467
E83005,N3 2JP,07M,Q71,Y56,5449,2635,2814
E83006,NW2 1HS,07M,Q71,Y56,6621,3179,3442
E83007,N3 2AU,07M,Q71,Y56,5766,2826,2940
E83008,N2 0EQ,07M,Q71,Y56,7297,3373,3924
E83009,NW11 7TE,07M,Q71,Y56,9733,4339,5394
E83010,N12 9SS,07M,Q71,Y56,10852,5131,5721
E83011,NW9 5XT,07M,Q71,Y56,7367,3543,3824
E83012,EN5 4BB,07M,Q71,Y56,7627,3510,4117
E83013,N3 1LD,07M,Q71,Y56,6322,3009,3313
E83016,NW7 2HX,07M,Q71,Y56,17954,8499,9455
E83017,EN5 4HT,07M,Q71,Y56,10777,5121,5656
E83018,HA8 0NR,07M,Q71,Y56,13725,6541,7184
E83020,NW4 4QR,07M,Q71,Y56,9504,4497,5007
E83021,N12 9SS,07M,Q71,Y56,11927,5740,6187
E83024,N20 9EX,07M,Q71,Y56,10342,4909,5433
E83025,NW2 1PA,07M,Q71,Y56,8769,4284,4485
E83026,N3 2JX,07M,Q71,Y56,3777,1764,2013
E83027,NW11 9AY,07M,Q71,Y56,7431,3647,3784
E83028,HA8 0RW,07M,Q71,Y56,5609,2738,2871
E83030,HA8 9TN,07M,Q71,Y56,6263,3067,3196
E83031,EN4 8RF,07M,Q71,Y56,4418,2127,2291
E83032,HA8 0AP,07M,Q71,Y56,18466,9062,9404
E83034,N10 1ET,07M,Q71,Y56,6481,3102,3379
E83035,N3 1YL,07M,Q71,Y56,8986,4332,4654
E83036,EN5 2ED,07M,Q71,Y56,3910,1885,2025
E83037,N20 0QQ,07M,Q71,Y56,5005,2385,2620
E83038,HA8 8NB,07M,Q71,Y56,8231,4214,4017
E83039,NW11 8BB,07M,Q71,Y56,7577,3809,3768
E83041,NW9 0TA,07M,Q71,Y56,4090,2316,1774
E83042,EN5 2ED,07M,Q71,Y56,2072,1026,1046
E83044,EN5 1QH,07M,Q71,Y56,8202,3879,4323
E83045,N11 3BU,07M,Q71,Y56,6438,3154,3284
E83046,NW7 3QB,07M,Q71,Y56,4993,2461,2532
E83049,NW7 1GR,07M,Q71,Y56,6007,2856,3151
E83050,N2 9QD,07M,Q71,Y56,5962,2821,3141
E83053,HA8 9GJ,07M,Q71,Y56,11707,5803,5904
E83600,NW11 7NP,07M,Q71,Y56,4666,2357,2309
E83613,EN4 8QZ,07M,Q71,Y56,2720,1413,1307
E83621,N11 1EY,07M,Q71,Y56,3188,1604,1584
E83622,NW11 7TE,07M,Q71,Y56,2527,1197,1330
E83624,EN5 1PH,07M,Q71,Y56,1830,967,863
E83629,EN4 8QZ,07M,Q71,Y56,3595,1476,2119
E83631,N2 9JG,07M,Q71,Y56,3157,1541,1616
E83632,EN4 8QZ,07M,Q71,Y56,4236,2149,2087
E83633,NW4 4UR,07M,Q71,Y56,2169,1238,931
E83637,NW9 6DJ,07M,Q71,Y56,5859,3031,2828
E83638,N3 3NR,07M,Q71,Y56,4575,2294,2281
E83639,N3 2QN,07M,Q71,Y56,3544,1847,1697
E83640,NW4 2TA,07M,Q71,Y56,1570,767,803
E83644,N3 1LY,07M,Q71,Y56,1847,960,887
E83645,N14 5DR,07M,Q71,Y56,3466,1721,1745
E83649,NW11 8NH,07M,Q71,Y56,3440,1686,1754
E83650,EN5 1RS,07M,Q71,Y56,1700,804,896
E83651,NW11 7TE,07M,Q71,Y56,1907,1007,900
E83652,NW11 7TE,07M,Q71,Y56,2257,946,1311
E83653,NW4 4AE,07M,Q71,Y56,6860,3260,3600
E83654,NW2 3ET,07P,Q71,Y56,2433,1314,1119
E83656,NW4 2JL,07M,Q71,Y56,1935,927,1008
E83657,NW4 1DG,07M,Q71,Y56,1818,894,924
E83658,HA8 0NR,07M,Q71,Y56,2509,1310,1199
E83659,HA8 0NR,07M,Q71,Y56,1328,644,684
E83664,N11 1EY,07M,Q71,Y56,1697,887,810
E83668,HA8 9NT,07M,Q71,Y56,4010,2155,1855
E84002,HA9 9HA,07P,Q71,Y56,6685,3363,3322
E84003,HA0 4UZ,07P,Q71,Y56,5180,2520,2660
E84004,HA3 7LT,08E,Q71,Y56,7952,3870,4082
E84005,HA2 9JH,08E,Q71,Y56,7005,3547,3458
E84006,NW10 5UY,07P,Q71,Y56,14522,7201,7321
E84007,HA9 9TW,07P,Q71,Y56,5418,2680,2738
E84008,HA2 8RS,08E,Q71,Y56,11140,5499,5641
E84009,HA3 5HF,08E,Q71,Y56,13351,6496,6855
E84011,NW10 2SL,07P,Q71,Y56,3856,2116,1740
E84012,NW2 3PS,07P,Q71,Y56,7070,3701,3369
E84013,NW10 9HP,07P,Q71,Y56,7939,3906,4033
E84014,HA8 5AT,08E,Q71,Y56,9282,4789,4493
E84015,NW9 9PE,07P,Q71,Y56,11605,5715,5890
E84017,HA0 1EZ,07P,Q71,Y56,8096,4134,3962
E84018,HA3 9BP,08E,Q71,Y56,7370,3608,3762
E84020,HA8 5LP,07P,Q71,Y56,2665,1348,1317
E84021,NW10 2PT,07P,Q71,Y56,10992,5646,5346
E84022,HA2 0UE,08E,Q71,Y56,6792,3397,3395
E84023,NW6 6SD,07P,Q71,Y56,5319,2581,2738
E84024,HA5 3EE,08E,Q71,Y56,19651,9406,10245
E84025,NW6 6RR,07P,Q71,Y56,14258,6692,7566
E84026,NW10 4RR,07P,Q71,Y56,5424,2775,2649
E84028,NW10 8RY,07P,Q71,Y56,4634,2306,2328
E84029,NW10 8RY,07P,Q71,Y56,2436,1223,1213
E84030,NW10 8RY,07P,Q71,Y56,5957,2976,2981
E84031,NW10 8TF,07P,Q71,Y56,9018,4512,4506
E84032,HA9 9FX,07P,Q71,Y56,8137,4035,4102
E84033,HA9 9FX,07P,Q71,Y56,4661,2316,2345
E84036,NW2 6JH,07P,Q71,Y56,8947,4583,4364
E84039,HA7 1JP,08E,Q71,Y56,8268,4052,4216
E84040,HA1 4JS,08E,Q71,Y56,4365,2316,2049
E84042,NW6 5AY,07P,Q71,Y56,7593,3879,3714
E84044,HA1 2NU,08E,Q71,Y56,9890,4858,5032
E84048,NW9 9SB,07P,Q71,Y56,9049,4660,4389
E84049,NW9 9BY,07P,Q71,Y56,1798,880,918
E84051,HA0 4JF,07P,Q71,Y56,5924,3208,2716
E84053,HA5 4RD,08E,Q71,Y56,4420,2213,2207
E84056,NW6 7TG,07P,Q71,Y56,1782,1116,666
E84057,HA7 1HS,08E,Q71,Y56,13369,7119,6250
E84058,HA2 0RQ,08E,Q71,Y56,16564,8391,8173
E84059,UB6 0RA,07W,Q71,Y56,4054,2057,1997
E84061,HA5 4EA,08E,Q71,Y56,11285,5392,5893
E84062,HA2 0AH,08E,Q71,Y56,4384,2208,2176
E84063,HA0 2AL,07P,Q71,Y56,5997,4016,1981
E84064,HA3 9HT,08E,Q71,Y56,3330,1668,1662
E84066,HA9 6PW,07P,Q71,Y56,3002,1659,1343
E84067,NW9 8LU,07P,Q71,Y56,8071,4511,3560
E84068,HA2 7DU,08E,Q71,Y56,14220,6958,7262
E84069,HA3 7LT,08E,Q71,Y56,11123,5586,5537
E84070,HA1 4QG,08E,Q71,Y56,3923,1902,2021
E84074,NW10 4ST,07P,Q71,Y56,6119,3299,2820
E84075,HA8 5QL,08E,Q71,Y56,5642,2931,2711
E84076,NW2 6EA,07P,Q71,Y56,6472,3144,3328
E84077,NW2 3AH,07P,Q71,Y56,2404,1328,1076
E84078,NW9 0EF,07P,Q71,Y56,3398,1736,1662
E84080,NW2 5HA,07P,Q71,Y56,7571,3660,3911
E84083,HA1 3QE,07P,Q71,Y56,6324,3279,3045
E84084,HA9 8EP,07P,Q71,Y56,4487,2264,2223
E84086,NW2 4RT,07P,Q71,Y56,7438,3601,3837
E84601,HA3 0YX,08E,Q71,Y56,6614,3255,3359
E84617,HA1 1SE,08E,Q71,Y56,4214,2284,1930
E84620,HA9 8LB,07P,Q71,Y56,5664,2971,2693
E84624,NW10 8TA,07P,Q71,Y56,2098,1082,1016
E84626,HA0 4UZ,07P,Q71,Y56,2617,1348,1269
E84635,HA9 6QL,07P,Q71,Y56,4284,2345,1939
E84637,NW10 8RY,07P,Q71,Y56,2667,1402,1265
E84638,HA0 4JB,07P,Q71,Y56,5709,3101,2608
E84645,NW10 8UT,07P,Q71,Y56,3450,1922,1528
E84646,HA3 9BL,08E,Q71,Y56,6125,3317,2808
E84647,HA3 0UQ,08E,Q71,Y56,2858,1486,1372
E84653,HA8 6BH,08E,Q71,Y56,2191,1124,1067
E84656,NW10 3RY,07P,Q71,Y56,3459,1697,1762
E84657,HA7 4AU,08E,Q71,Y56,2216,1024,1192
E84658,HA3 5LE,08E,Q71,Y56,5333,2619,2714
E84661,HA3 0UN,07P,Q71,Y56,3153,1572,1581
E84663,HA3 0YX,08E,Q71,Y56,5883,2848,3035
E84665,NW2 7SA,07P,Q71,Y56,7522,4019,3503
E84667,W9 3EG,07P,Q71,Y56,2231,1080,1151
E84669,HA0 4SH,07P,Q71,Y56,2385,1226,1159
E84670,HA2 9LG,08E,Q71,Y56,3536,1879,1657
E84674,NW2 3AN,07P,Q71,Y56,6101,3458,2643
E84676,HA2 6LY,08E,Q71,Y56,3777,1980,1797
E84678,HA9 8JZ,07P,Q71,Y56,3554,1941,1613
E84680,HA1 1PG,08E,Q71,Y56,3990,2007,1983
E84681,HA1 1RQ,08E,Q71,Y56,2722,1450,1272
E84684,HA9 9DS,07P,Q71,Y56,2810,1419,1391
E84685,HA0 3HG,07P,Q71,Y56,8042,4031,4011
E84690,NW2 7NA,07P,Q71,Y56,4248,2207,2041
E84693,HA1 4BS,08E,Q71,Y56,7389,3560,3829
E84696,NW6 5RE,07P,Q71,Y56,1698,927,771
E84699,NW9 0QP,07P,Q71,Y56,4426,2362,2064
E84701,HA0 4UZ,07P,Q71,Y56,3810,1874,1936
E84702,NW2 3UY,07P,Q71,Y56,2849,1579,1270
E84704,NW2 6JH,07P,Q71,Y56,2300,1072,1228
E84705,NW10 3JP,07P,Q71,Y56,2466,1274,1192
E84706,NW9 8JD,07P,Q71,Y56,2189,1161,1028
E84708,NW10 0DJ,07P,Q71,Y56,2143,1160,983
E84709,HA9 8HD,07P,Q71,Y56,10110,5234,4876
E84713,HA3 7LT,08E,Q71,Y56,3685,1913,1772
E85001,TW7 4HQ,07Y,Q71,Y56,6841,3303,3538
E85003,W14 9PR,08C,Q71,Y56,17661,8588,9073
E85004,TW8 8DS,07Y,Q71,Y56,6545,3143,3402
E85005,W12 0PT,08C,Q71,Y56,3505,1763,1742
E85006,UB2 4XQ,07W,Q71,Y56,4521,2332,2189
E85007,TW1 1NE,07Y,Q71,Y56,9511,4640,4871
E85008,SW6 1TN,08C,Q71,Y56,7600,3743,3857
E85012,UB1 3HY,07W,Q71,Y56,4694,2440,2254
E85013,W7 1DR,07W,Q71,Y56,3355,1588,1767
E85014,W13 9QP,07W,Q71,Y56,9102,4602,4500
E85015,TW3 3ET,07Y,Q71,Y56,3839,1887,1952
E85016,W6 7HY,08C,Q71,Y56,10266,5024,5242
E85018,TW5 9ER,07Y,Q71,Y56,2057,1093,964
E85019,W3 8SA,07W,Q71,Y56,9178,4481,4697
E85020,W6 7EG,08C,Q71,Y56,12596,6074,6522
E85021,UB5 6LD,07W,Q71,Y56,7084,3485,3599
E85023,UB1 2RL,07W,Q71,Y56,2101,1077,1024
E85024,TW14 0AX,07Y,Q71,Y56,5317,2679,2638
E85025,SW6 5PX,08C,Q71,Y56,4903,2311,2592
E85026,W13 9NZ,07W,Q71,Y56,11956,5873,6083
E85028,W3 9RA,07W,Q71,Y56,7698,4085,3613
E85029,SW6 6BQ,08C,Q71,Y56,14341,7115,7226
E85030,W4 1RX,07Y,Q71,Y56,6895,3371,3524
E85032,W12 9BP,08C,Q71,Y56,5355,2700,2655
E85033,W6 9DU,08C,Q71,Y56,9383,4560,4823
E85034,W13 9BE,07W,Q71,Y56,5910,3084,2826
E85035,TW13 6AJ,07Y,Q71,Y56,4377,2288,2089
E85038,SW6 6JD,08C,Q71,Y56,4709,2240,2469
E85040,W4 1RX,07Y,Q71,Y56,9895,4713,5182
E85041,W7 1DR,07W,Q71,Y56,6127,3149,2978
E85042,W12 9RD,08C,Q71,Y56,5297,2715,2582
E85044,TW3 3DB,07Y,Q71,Y56,2116,1185,931
E85045,TW13 6HD,07Y,Q71,Y56,3708,1901,1807
E85046,UB6 9RB,07W,Q71,Y56,6223,3020,3203
E85048,W12 7FG,08C,Q71,Y56,3616,1774,1842
E85049,UB2 5DU,07W,Q71,Y56,5594,3204,2390
E85050,UB6 8QH,07W,Q71,Y56,7864,3998,3866
E85051,W7 3AH,07W,Q71,Y56,4657,2360,2297
E85052,TW5 9RG,07Y,Q71,Y56,4839,2560,2279
E85053,UB5 4AT,07W,Q71,Y56,4114,1973,2141
E85054,UB6 7HQ,07W,Q71,Y56,10118,5226,4892
E85055,W12 8PP,08C,Q71,Y56,11974,6031,5943
E85056,TW13 4GU,07Y,Q71,Y56,7487,3645,3842
E85057,W5 1TP,07W,Q71,Y56,9752,4652,5100
E85058,TW3 3LN,07Y,Q71,Y56,7789,3915,3874
E85059,TW3 3LN,07Y,Q71,Y56,8404,4496,3908
E85060,TW3 2DY,07Y,Q71,Y56,5911,2963,2948
E85061,UB2 4EY,07W,Q71,Y56,3067,1612,1455
E85062,TW3 1NL,07Y,Q71,Y56,9481,5311,4170
E85064,UB5 6QN,07W,Q71,Y56,4255,2123,2132
E85066,W4 5LH,07W,Q71,Y56,3690,1819,1871
E85069,UB6 8RA,07W,Q71,Y56,3968,1964,2004
E85071,TW13 5AD,07Y,Q71,Y56,1835,915,920
E85074,W6 7BL,08C,Q71,Y56,4110,2112,1998
E85075,W4 1BB,07W,Q71,Y56,3912,1952,1960
E85077,W12 7LS,08C,Q71,Y56,3276,1884,1392
E85083,UB1 2TJ,07W,Q71,Y56,4478,2373,2105
E85088,W7 3DD,07W,Q71,Y56,3018,1510,1508
E85090,UB2 4EH,07W,Q71,Y56,5325,3062,2263
E85091,W5 1AQ,07W,Q71,Y56,1716,985,731
E85096,UB1 1BW,07W,Q71,Y56,8419,4909,3510
